COMP1000    COMPUTER SCIENCE I
COMP1100    INTRODUCTION TO NETWORKS
MATH1500    PRECALCULUS
COMP1050    COMPUTER SCIENCE II
COMP1150    ROUTING AND SWITCHING
MATH2300	DISCRETE MATHEMATICS
COMP1200    COMPUTER ORGANIZATION
COMP2500    SECURITY PRINCIPLES
MATH1030    STATISTICS & APPLICATIONS
COMP2150    NETWORK ADMINISTRATION
COMP2160    WIRELESS NETWORKS
COMP2650    DATABASES
COMP3100    SYSTEM ADMINISTRATION
COMP3500    NETWORK SECURITY
COMP3550    COMPUTER SECURITY
MATH1900    INTRODUCTION TO OPERATIONS RESEARCH
COMP4650    WEB DEVELOPMENT
COMP4950    PROJECT MANAGEMENT
COMP5500    SENIOR PROJECT
