MATH1550    FOUNDATIONS OF APPLIED MATHEMATICS
MATH1776    CALCULUS 1A
MATH1777    CALCULUS 1B
COMP1000    COMPUTER SCIENCE I
MATH1876    CALCULUS 2A
MATH1877    CALCULUS 2B
MATH2300    DISCRETE MATHEMATICS
COMP1050    COMPUTER SCIENCE II
MATH2025    MULTIVARIABLE CALCULUS
MATH2100    PROBABILITY & STATISTICS FOR ENGINEERS
MATH2550    TRANSITION TO ADVANCED MATH
MATH3900    NUMERICAL ANALYSIS I
MATH2200    ADVANCED STATISTICS
MATH2500    DIFFERENTIAL EQUATIONS
MATH2860    LINEAR ALGEBRA & MATRIX THEORY
MATH3950    NUMERICAL ANALYSIS II
MATH3700    OPERATIONS RESEARCH
MATH4900    PARTIAL DIFFERENTIAL EQUATIONS
MATH5000    APPLIED MATHEMATICS FINAL YEAR DESIGN I
