COMP1000    COMPUTER SCIENCE I
MATH1776    CALCULUS 1A
MATH1777    CALCULUS 1B
MATH2300    DISCRETE MATHEMATICS
COMP1050    COMPUTER SCIENCE II
COMP1200    COMPUTER ORGANIZATION
MATH1876    CALCULUS 2A
MATH1877    CALCULUS 2B
COMP2000    DATA STRUCTURES
COMP2100    NETWORK PROGRAMMING
COMP2650    DATABASES
MATH2860    LINEAR ALGEBRA & MATRIX THEORY
COMP2350    ALGORITHMS
COMP3400    OPERATING SYSTEMS
MATH2100    PROBABILITY & STATISTICS FOR ENGINEERS
COMP3350    PROGRAMMING LANGUAGES
COMP4960    SOFTWARE ENGINEERING
COMP3450    PARALLEL COMPUTING AND DISTRIBUTED COMPUTING
COMP5500    SENIOR PROJECT
