Year,Semester,Course
2,Fall,MATH2860	LINEAR ALGEBRA & MATRIX THEORY	
2,Fall,COMP2350	ALGORITHMS	
2,Fall,COMP3400	OPERATING SYSTEMS	
2,Spring,MATH2100	PROBABILITY & STATISTICS FOR ENGINEERS	
2,Spring,COMP3350	PROGRAMMING LANGUAGES	
2,Spring,COMP4960	SOFTWARE ENGINEERING	
2,Summer,COMP3450	PARALLEL COMPUTING AND DISTRIBUTED COMPUTING	
2,Summer,COMP5500	SENIOR PROJECT	
Remaining General Elective Credits:,7
Remaining Science Elective Credits:,7
Remaining Humanities/Social Science Elective Credits:,19
Remaining Major Credits:,25
